Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 19:22:25 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"5359","NC55SE 22","Allt Na Feulsaid","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","259600","952100","HIGHLAND","SUTHERLAND","TONGUE","NC 596 521","http://canmore.org.uk/site/5359",
"5362","NC55SE 25","Coille Ri Truail","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","259330","953820","HIGHLAND","SUTHERLAND","TONGUE","NC 5933 5382","http://canmore.org.uk/site/5362",
"5379","NC55SE 9","Allt Na Caillich","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","256600","951300","HIGHLAND","SUTHERLAND","TONGUE","NC 566 513","http://canmore.org.uk/site/5379",
"5393","NC56SE 18","Dalvraid","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","256580","963370","HIGHLAND","SUTHERLAND","TONGUE","NC 5658 6337","http://canmore.org.uk/site/5393",
"5610","NC63NW 23","Carn Gruama Beag","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","262390","938220","HIGHLAND","SUTHERLAND","FARR","NC 6239 3822","http://canmore.org.uk/site/5610",
"5640","NC63SE 5","Cnoc Na H-iolaire","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","269100","934300","HIGHLAND","SUTHERLAND","FARR","NC 691 343","http://canmore.org.uk/site/5640",
"6051","NC71NW 9","Creag Chreagach","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","272400","918800","HIGHLAND","SUTHERLAND","CLYNE","NC 724 188","http://canmore.org.uk/site/6051",
"6981","NC91NE 1","Badiepullacher","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Rig And Furrow (Medieval)","295350","918780","HIGHLAND","SUTHERLAND","KILDONAN","NC 9535 1878","http://canmore.org.uk/site/6981",
"7335","NC96SE 16","Creag Leathan","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","298200","963300","HIGHLAND","CAITHNESS","REAY","NC 982 633","http://canmore.org.uk/site/7335",
"7337","NC96SE 18","Borlum Rock","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","297480","963470","HIGHLAND","CAITHNESS","REAY","NC 9748 6347","http://canmore.org.uk/site/7337",
"7355","NC96SE 33","Brackside","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","295290","964130","HIGHLAND","CAITHNESS","REAY","NC 9529 6413","http://canmore.org.uk/site/7355",
"7365","NC96SE 42","Allt Beinn Ratha","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","295500","963200","HIGHLAND","CAITHNESS","REAY","NC 9550 6320","http://canmore.org.uk/site/7365",
"7425","ND01NW 11","Caen Hill","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","301800","917930","HIGHLAND","SUTHERLAND","KILDONAN","ND 0180 1793","http://canmore.org.uk/site/7425",
"7461","ND01NW 44","Caen Hill","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","302110","917730","HIGHLAND","SUTHERLAND","KILDONAN","ND 0211 1773","http://canmore.org.uk/site/7461",
"7517","ND02NW 3","Wag","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric)","302030","925190","HIGHLAND","CAITHNESS","LATHERON","ND 0203 2519","http://canmore.org.uk/site/7517",
"7537","ND02SE 21","Langwell Tulloch","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","309770","922490","HIGHLAND","CAITHNESS","LATHERON","ND 0977 2249","http://canmore.org.uk/site/7537",
"7541","ND02SE 25","Allt A' Chriosduidhe","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","309930","924720","HIGHLAND","CAITHNESS","LATHERON","ND 0993 2472","http://canmore.org.uk/site/7541",
"7545","ND02SE 29","Brae-na-h-eaglaise","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","306620","923200","HIGHLAND","CAITHNESS","LATHERON","ND 0662 2320","http://canmore.org.uk/site/7545",
"7556","ND02SE 9","Allt A' Chriosduidhe","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","309850","924400","HIGHLAND","CAITHNESS","LATHERON","ND 0985 2440","http://canmore.org.uk/site/7556",
"8062","ND12NW 5","An Glut","Clearance Cairn(S) (Period Unassigned), Croft (Period Unassigned), Hut Circle (Prehistoric)","310260","927900","HIGHLAND","CAITHNESS","LATHERON","ND 1026 2790","http://canmore.org.uk/site/8062",
"8212","ND13SW 2","Balcraggie Lodge","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","314200","930200","HIGHLAND","CAITHNESS","LATHERON","ND 142 302","http://canmore.org.uk/site/8212",
"12318","NH42NW 3","Shewglie","Cairn(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible), Township (Period Unassigned)","241900","829400","HIGHLAND","INVERNESS-SHIRE","URQUHART AND GLENMORISTON","NH 419 294","http://canmore.org.uk/site/12318",
"13296","NH63SW 60","Stac Dearg","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","264850","832390","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 6485 3239","http://canmore.org.uk/site/13296",
"13613","NH65SW 9","Allanglach","Clearance Cairn(S) (Period Unassigned)(Possible)","262000","850200","HIGHLAND","ROSS AND CROMARTY","KNOCKBAIN","NH 620 502","http://canmore.org.uk/site/13613",
"13689","NH66SE 3","Wood Of Brae","Clearance Cairn(S) (Period Unassigned)","268550","861970","HIGHLAND","ROSS AND CROMARTY","RESOLIS","NH 6855 6197","http://canmore.org.uk/site/13689",
"13696","NH66SW 1","Toberchurn","Clearance Cairn (Period Unassigned)","261950","862920","HIGHLAND","ROSS AND CROMARTY","RESOLIS","NH 6195 6292","http://canmore.org.uk/site/13696",
"13930","NH69NE 20","Loch An Lagain","Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned), Hut Circle (Prehistoric)","266300","895800","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 663 958","http://canmore.org.uk/site/13930",
"14029","NH69SW 4","Seannabhail","Cairnfield (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","261780","893730","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 6178 9373","http://canmore.org.uk/site/14029",
"14040","NH69SW 5","Tulloch","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","261800","892500","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 618 925","http://canmore.org.uk/site/14040",
"14657","NH78NW 23","Coille Poll Na H-airde","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","271310","888190","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 7131 8819","http://canmore.org.uk/site/14657",
"14679","NH78NW 9","Coille Poll Na H-airde","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","271560","888220","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 7156 8822","http://canmore.org.uk/site/14679",
